loss_pol_entpen,EpLenMean,loss_pol_surr,loss_ent,ev_tdlam_before,EpRewMean,loss_kl,EpisodesSoFar,EpThisIter,TimestepsSoFar,TimeElapsed,loss_vf_loss
0.0,160.08,-0.07575156,1.914825,0.6449940502643585,10.84,0.0682906,3703,28,512000,859.4885056018829,123.39775
0.0,152.87,-0.074660845,1.8774434,0.49249207973480225,10.45,0.0656614,3729,26,516096,866.1287858486176,169.91418
0.0,144.16,-0.07807534,1.849825,0.6453648209571838,23.56,0.06423161,3760,31,520192,872.7200818061829,153.03406
0.0,152.06,-0.07336166,1.8362962,0.6527429223060608,21.14,0.06304661,3785,25,524288,879.250730752945,134.14694
0.0,149.46,-0.07704077,1.825561,0.6403333842754364,21.08,0.06668773,3812,27,528384,885.6206207275391,162.98065
0.0,150.74,-0.080757804,1.7793959,0.6659068763256073,15.41,0.07151045,3839,27,532480,892.2206742763519,163.1951
0.0,154.12,-0.07734555,1.7854365,0.5713129341602325,5.23,0.0728042,3866,27,536576,899.025407075882,170.64784
0.0,160.66,-0.07829749,1.7577153,0.7262268662452698,3.45,0.08099869,3888,22,540672,905.7628333568573,123.87359
0.0,156.45,-0.07253561,1.7370055,0.6983886063098907,-7.41,0.061002262,3916,28,544768,912.3934125900269,140.21902
0.0,156.5,-0.07216269,1.743437,0.5349543690681458,-6.25,0.069579445,3946,30,548864,919.0255980491638,146.81082
0.0,151.69,-0.07820616,1.6938722,0.6721420884132385,-11.77,0.067169204,3972,26,552960,925.6987268924713,148.35861
0.0,142.51,-0.074148566,1.6564708,0.6346959471702576,0.84,0.067327015,4001,29,557056,932.3462858200073,176.23969
0.0,144.17,-0.08020621,1.6248862,0.6938826739788055,-0.42,0.07352327,4028,27,561152,939.1684141159058,107.76427
0.0,152.34,-0.07472434,1.6022265,0.5435404777526855,13.03,0.07556202,4053,25,565248,945.8024487495422,163.85855
0.0,145.93,-0.074205875,1.563986,0.5865761041641235,10.1,0.073916875,4084,31,569344,952.3597965240479,108.569046
0.0,144.1,-0.073133424,1.5212682,0.5112035870552063,16.73,0.074006066,4112,28,573440,959.0033106803894,151.67296
0.0,133.9,-0.078735024,1.4812696,0.5646774470806122,24.14,0.0738632,4146,34,577536,965.518369436264,168.56598
0.0,136.96,-0.07358819,1.4494331,0.6272857189178467,16.11,0.09027933,4175,29,581632,971.9590876102448,168.85309
0.0,136.03,-0.081675015,1.441386,0.6517879664897919,16.96,0.07357803,4204,29,585728,978.3384647369385,134.65263
0.0,133.88,-0.07658757,1.4190924,0.6066792607307434,6.54,0.06697588,4235,31,589824,984.7721829414368,150.37009
