EpRewMean,TimestepsSoFar,loss_vf_loss,loss_pol_surr,EpisodesSoFar,EpThisIter,ev_tdlam_before,TimeElapsed,loss_kl,loss_ent,EpLenMean,loss_pol_entpen
5.31,512000,209.5113,-0.073530234,5893,41,0.5884576141834259,1567.5417404174805,0.053607427,2.522737,102.82,0.0
-0.64,516096,213.6729,-0.07111034,5932,39,0.660860002040863,1578.3885021209717,0.05262692,2.5141237,102.7,0.0
-4.65,520192,252.47408,-0.075011104,5967,35,0.6457450091838837,1588.6339647769928,0.048746232,2.4897466,109.25,0.0
6.22,524288,228.04784,-0.074891046,6002,35,0.6253568530082703,1599.3023114204407,0.050127316,2.467906,112.28,0.0
8.92,528384,234.51576,-0.070649534,6042,40,0.676913321018219,1609.5737266540527,0.04951416,2.425385,112.51,0.0
17.38,532480,209.24911,-0.07539025,6077,35,0.6076188683509827,1620.3026082515717,0.05354016,2.3540034,110.89,0.0
13.23,536576,219.99916,-0.074513525,6113,36,0.6088226735591888,1630.5649712085724,0.09072607,2.320596,111.83,0.0
5.55,540672,182.38206,-0.07068143,6152,39,0.6705175936222076,1640.1623377799988,0.058686025,2.3091838,110.47,0.0
7.93,544768,215.18669,-0.072604775,6190,38,0.6519649922847748,1650.0069105625153,0.048181083,2.2804968,108.11,0.0
8.63,548864,224.08261,-0.072230525,6228,38,0.7092047333717346,1660.8411264419556,0.059733383,2.2417212,107.35,0.0
12.6,552960,197.16885,-0.06871611,6269,41,0.7204839587211609,1671.2516827583313,0.057532858,2.2167954,105.68,0.0
-4.37,557056,139.98872,-0.076853946,6305,36,0.7406453490257263,1681.3845782279968,0.06676639,2.2117314,109.84,0.0
-19.0,561152,166.21783,-0.07431086,6337,32,0.59956493973732,1692.095198392868,0.057252277,2.197256,114.38,0.0
-21.34,565248,183.9744,-0.074975,6374,37,0.7465962767601013,1702.5385339260101,0.054022647,2.1847618,116.37,0.0
-6.35,569344,244.00429,-0.071628764,6409,35,0.6038889586925507,1713.0609691143036,0.057086878,2.183297,119.9,0.0
10.24,573440,218.9385,-0.07571106,6445,36,0.5859768092632294,1723.7013902664185,0.06164747,2.1267476,113.93,0.0
13.77,577536,210.85199,-0.06427447,6483,38,0.6726808547973633,1734.013304233551,0.05437166,2.11265,111.11,0.0
8.21,581632,226.04709,-0.07010034,6520,37,0.679043173789978,1744.2198827266693,0.053333234,2.1233675,110.93,0.0
17.88,585728,217.38925,-0.06994475,6557,37,0.6634602546691895,1754.5426325798035,0.06153621,2.0538578,110.72,0.0
19.15,589824,182.67873,-0.07205818,6591,34,0.7071560025215149,1765.004194021225,0.07257976,2.0391,114.26,0.0
17.87,593920,208.80266,-0.07513148,6626,35,0.7101704776287079,1775.1775841712952,0.06171473,2.0304494,114.01,0.0
19.57,598016,192.88423,-0.0727589,6660,34,0.7125622034072876,1785.6292502880096,0.06948394,1.9922957,119.31,0.0
16.28,602112,185.85117,-0.07394773,6694,34,0.7031610310077667,1915.9255220890045,0.07334944,1.9570543,118.28,0.0
18.99,606208,167.03229,-0.07496633,6723,29,0.6413151621818542,1926.6479713916779,0.07007619,1.9403228,124.37,0.0
20.87,610304,203.8314,-0.07754358,6755,32,0.5830124318599701,1937.0506772994995,0.064599,1.9203414,127.45,0.0
24.99,614400,198.6028,-0.068094164,6786,31,0.6125329732894897,1947.3736827373505,0.07046451,1.8854522,134.27,0.0
17.57,618496,179.73247,-0.07846384,6820,34,0.6751177608966827,1957.5982213020325,0.06884046,1.8529145,128.58,0.0
10.1,622592,125.08985,-0.08275926,6854,34,0.7440608441829681,1967.9349522590637,0.07260665,1.8410397,124.49,0.0
-5.81,626688,189.74747,-0.07247377,6891,37,0.7072660624980927,1979.2881433963776,0.05705661,1.8535446,118.02,0.0
-0.76,630784,242.02075,-0.076537505,6925,34,0.6494739353656769,1990.4404213428497,0.07125369,1.7878478,115.61,0.0
-1.73,634880,180.11443,-0.06561696,6960,35,0.7483984529972076,2001.012877702713,0.07633803,1.7817082,115.49,0.0
12.02,638976,198.80913,-0.08000506,6992,32,0.634882003068924,2011.1761445999146,0.071818314,1.7353228,120.45,0.0
22.04,643072,192.05353,-0.076973215,7026,34,0.6134920120239258,2021.5372893810272,0.07034916,1.6817552,121.56,0.0
27.53,647168,198.7138,-0.07841604,7058,32,0.6210679113864899,2032.1564753055573,0.078567035,1.622362,126.55,0.0
15.27,651264,225.4589,-0.07538075,7091,33,0.6018269658088684,2041.9491665363312,0.07015672,1.5950599,124.23,0.0
2.22,655360,173.10886,-0.07690031,7125,34,0.6735893487930298,2052.955002307892,0.08180648,1.553848,123.54,0.0
-6.44,659456,181.40721,-0.073824294,7161,36,0.7394665777683258,2063.448621034622,0.07710013,1.5296472,116.07,0.0
6.82,663552,234.47618,-0.068971984,7194,33,0.5692462921142578,2074.0800733566284,0.07919775,1.4823157,120.66,0.0
17.9,667648,167.25189,-0.07293139,7227,33,0.6558868288993835,2084.250607252121,0.0864827,1.4316356,120.29,0.0
27.96,671744,232.29169,-0.07160882,7259,32,0.5970667004585266,2095.2147946357727,0.0884717,1.4595721,125.25,0.0
15.58,675840,217.66554,-0.0745265,7296,37,0.5505996346473694,2105.420738697052,0.069670625,1.4932561,121.31,0.0
18.27,679936,188.39905,-0.07757603,7331,35,0.6368530988693237,2115.7770779132843,0.07645511,1.4714514,115.56,0.0
17.1,684032,220.65637,-0.073148124,7365,34,0.6118111312389374,2126.5737838745117,0.068365924,1.4645078,116.27,0.0
30.01,688128,174.33307,-0.0801671,7399,34,0.6197449266910553,2137.3197934627533,0.06912613,1.425326,119.64,0.0
30.35,692224,229.66095,-0.06638086,7435,36,0.6225180625915527,2147.7180852890015,0.09211886,1.4332575,118.35,0.0
14.19,696320,208.25381,-0.08161541,7470,35,0.6682812869548798,2158.6907920837402,0.093600206,1.3792121,116.12,0.0
-0.95,700416,199.765,-0.07513333,7508,38,0.7286233007907867,2292.9881744384766,0.079495616,1.3528471,111.74,0.0
-1.07,704512,206.5134,-0.07739449,7543,35,0.7212300598621368,2303.77490401268,0.06987235,1.3490684,112.3,0.0
-5.11,708608,174.80315,-0.0829204,7576,33,0.6901841461658478,2314.317975759506,0.08201797,1.3137429,116.24,0.0
-0.44,712704,253.14044,-0.0749,7609,33,0.6076575219631195,2324.562600851059,0.069141805,1.3124311,121.68,0.0
13.16,716800,181.23483,-0.07377879,7641,32,0.7137574255466461,2334.897628545761,0.08369963,1.3167717,125.51,0.0
15.99,720896,187.22072,-0.07030292,7678,37,0.6430759727954865,2345.2361352443695,0.08444651,1.2793663,120.95,0.0
19.56,724992,185.48784,-0.07091453,7712,34,0.6879105567932129,2356.2968316078186,0.083327815,1.2722473,119.06,0.0
13.68,729088,200.81975,-0.07255509,7746,34,0.6177505850791931,2366.260365009308,0.08297746,1.2483954,118.76,0.0
19.28,733184,221.26747,-0.07282891,7782,36,0.6952486336231232,2376.6492977142334,0.0691398,1.225479,117.91,0.0
7.37,737280,174.53967,-0.08005024,7818,36,0.7164084315299988,2386.598918199539,0.074039005,1.213285,114.59,0.0
4.08,741376,192.588,-0.079678304,7854,36,0.6359326541423798,2396.902782678604,0.08569074,1.1930306,113.49,0.0
-1.72,745472,178.96352,-0.07472033,7887,33,0.6530792117118835,2407.8496239185333,0.11644542,1.1761924,116.56,0.0
-5.62,749568,209.28433,-0.07850869,7922,35,0.6367773711681366,2419.1585063934326,0.09342019,1.1272397,117.82,0.0
14.72,753664,187.05264,-0.08181549,7957,35,0.6532540023326874,2429.6007645130157,0.08194003,1.1305152,119.36,0.0
13.58,757760,241.64827,-0.076757416,7991,34,0.6056777238845825,2440.0470929145813,0.07783417,1.0996482,117.2,0.0
30.73,761856,191.0851,-0.07489423,8027,36,0.605867862701416,2450.6844997406006,0.09069518,1.0643911,115.75,0.0
14.68,765952,198.2579,-0.07530051,8063,36,0.716249942779541,2461.072595834732,0.08053942,1.0625567,116.25,0.0
10.16,770048,225.04044,-0.07086296,8100,37,0.5625400841236115,2471.367646932602,0.08566703,1.009823,114.76,0.0
0.81,774144,196.6961,-0.076678835,8135,35,0.6812885105609894,2481.56924200058,0.09591102,1.0123255,114.8,0.0
0.24,778240,236.08788,-0.07408643,8173,38,0.6527872681617737,2491.833589553833,0.08309948,0.97649837,112.13,0.0
2.3,782336,204.58835,-0.07704721,8211,38,0.5565249621868134,2502.364397287369,0.09639081,0.95671,109.26,0.0
6.86,786432,222.82893,-0.079501815,8246,35,0.5764612555503845,2512.7749059200287,0.079690054,0.94058996,110.35,0.0
11.62,790528,232.66759,-0.067843534,8284,38,0.6083132326602936,2523.3592717647552,0.08732868,0.90549856,112.24,0.0
16.48,794624,196.4011,-0.07622671,8321,37,0.6825383305549622,2534.103003025055,0.08870618,0.8594829,110.59,0.0
4.41,798720,216.88025,-0.062103387,8360,39,0.7021160423755646,2544.7031314373016,0.10323417,0.8405102,108.75,0.0
19.07,802816,213.63432,-0.07020349,8394,34,0.5896618366241455,2672.13902258873,0.09454143,0.8286174,110.53,0.0
16.32,806912,193.7415,-0.0747461,8433,39,0.6848765909671783,2682.440096616745,0.10632285,0.8176258,110.75,0.0
10.94,811008,257.10962,-0.07183676,8469,36,0.5960579514503479,2692.7094180583954,0.12008492,0.8137409,111.68,0.0
-2.99,815104,188.37126,-0.08066411,8506,37,0.7416664958000183,2703.243989467621,0.07959476,0.8065195,109.7,0.0
-1.65,819200,243.5436,-0.07702134,8540,34,0.6144373714923859,2714.5932364463806,0.09256131,0.7827882,114.07,0.0
-2.81,823296,178.84781,-0.07678294,8574,34,0.6476741433143616,2725.33167219162,0.104662865,0.7522163,117.19,0.0
-1.62,827392,193.99225,-0.07680559,8605,31,0.6933944821357727,2735.993827819824,0.136901,0.7106629,124.01,0.0
5.12,831488,227.89238,-0.0800393,8642,37,0.6864305734634399,2746.712372779846,0.09478597,0.71145624,120.96,0.0
21.61,835584,208.52109,-0.06732349,8676,34,0.5973931550979614,2757.1996517181396,0.10296577,0.70228964,119.99,0.0
31.75,839680,181.1257,-0.07344885,8710,34,0.6119436919689178,2767.5349354743958,0.13420407,0.6673428,117.95,0.0
10.66,843776,190.79211,-0.0771528,8748,38,0.7139459252357483,2778.225385904312,0.08795605,0.63840514,114.63,0.0
-11.42,847872,201.20374,-0.07180499,8785,37,0.6907044649124146,2788.411304950714,0.10615146,0.6328941,112.32,0.0
-17.78,851968,221.30193,-0.07894093,8821,36,0.5606076121330261,2799.1977462768555,0.10614685,0.6101951,109.51,0.0
0.28,856064,164.47417,-0.080150045,8855,34,0.7124641537666321,2810.0306169986725,0.119663075,0.62940973,115.31,0.0
9.4,860160,165.38419,-0.08201675,8888,33,0.6821875274181366,2820.4824681282043,0.10935085,0.60436505,119.06,0.0
22.43,864256,203.07965,-0.07898034,8925,37,0.7438012361526489,2830.8939702510834,0.1005475,0.59258306,118.52,0.0
14.86,868352,213.7287,-0.07198298,8959,34,0.6340622007846832,2840.916230916977,0.10593351,0.5777181,117.26,0.0
12.89,872448,214.36906,-0.07565233,8992,33,0.6511865556240082,2851.833864927292,0.090622485,0.58187354,118.58,0.0
7.73,876544,222.85733,-0.07261563,9026,34,0.5172879695892334,2862.6733858585358,0.09957005,0.59324634,120.55,0.0
17.52,880640,206.46709,-0.07532135,9066,40,0.613681972026825,2872.829910516739,0.08913836,0.5637525,115.29,0.0
18.03,884736,195.31197,-0.074736975,9101,35,0.6284600496292114,2883.5846798419952,0.14357659,0.5422072,113.68,0.0
16.66,888832,225.91107,-0.07830486,9140,39,0.6892071962356567,2894.565140724182,0.107305944,0.5006733,107.38,0.0
18.13,892928,206.7658,-0.069418095,9176,36,0.6554011404514313,2905.1865639686584,0.13120538,0.44660202,112.22,0.0
10.32,897024,220.54169,-0.07622732,9211,35,0.5877756774425507,2916.119765996933,0.10157161,0.4056492,113.89,0.0
12.07,901120,230.37053,-0.074289665,9248,37,0.6609482169151306,3049.2681345939636,0.08755414,0.43254468,113.48,0.0
20.99,905216,164.79224,-0.07706972,9281,33,0.6445772051811218,3059.7337419986725,0.12923777,0.41214377,116.42,0.0
