EpThisIter,loss_ent,loss_pol_entpen,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,loss_kl,TimeElapsed,loss_pol_surr,ev_tdlam_before,TimestepsSoFar
43,3.0735123,0.0,40.28,92.01,334.67862,3750,0.040384136,758.6330094337463,-0.0734651,0.6917214691638947,405504
43,3.0540571,0.0,24.32,94.94,439.25903,3793,0.039564665,765.8990094661713,-0.06514625,0.5515735447406769,409600
43,3.0531418,0.0,11.09,95.86,327.97116,3836,0.03909237,773.2746021747589,-0.07327397,0.6329153776168823,413696
45,3.031539,0.0,8.21,93.99,410.3076,3881,0.03984257,780.988730430603,-0.07302633,0.6068472564220428,417792
43,3.0120544,0.0,7.41,90.89,358.96954,3924,0.04216616,788.4930758476257,-0.069986284,0.6611969172954559,421888
48,2.9943845,0.0,9.13,93.76,402.66318,3972,0.04256805,795.6507947444916,-0.06650638,0.700762003660202,425984
41,2.9769328,0.0,18.72,96.46,408.6674,4013,0.03860393,802.8855881690979,-0.072922714,0.5993586778640747,430080
48,2.9477181,0.0,25.53,88.58,428.6046,4061,0.04305411,810.077294588089,-0.069835104,0.5637820363044739,434176
47,2.9270735,0.0,7.09,87.15,324.84427,4108,0.04180332,817.2793810367584,-0.07236671,0.7398287653923035,438272
37,2.8933358,0.0,11.76,96.7,399.70175,4145,0.04643556,824.465069770813,-0.072074585,0.6307573914527893,442368
43,2.8526206,0.0,17.63,96.19,370.0094,4188,0.045309894,831.3972718715668,-0.07020456,0.6089599132537842,446464
41,2.8182025,0.0,19.12,101.99,341.357,4229,0.043864504,838.6868674755096,-0.068898655,0.7378960251808167,450560
39,2.7863927,0.0,23.13,100.11,378.2327,4268,0.04637965,846.1712112426758,-0.06952966,0.698280930519104,454656
42,2.7427936,0.0,36.34,103.07,443.46936,4310,0.04426199,853.8599767684937,-0.06983202,0.626199871301651,458752
40,2.719381,0.0,39.25,100.09,371.41714,4350,0.046020973,861.6434082984924,-0.073005185,0.6520183086395264,462848
39,2.674311,0.0,18.56,100.1,435.9875,4389,0.046087626,869.2362072467804,-0.07346909,0.6308213174343109,466944
40,2.6503048,0.0,15.9,100.29,433.50522,4429,0.040568367,876.3915791511536,-0.07455071,0.6231234669685364,471040
49,2.6084082,0.0,26.55,92.21,382.85965,4478,0.048415713,883.7297668457031,-0.068207,0.6590273976325989,475136
42,2.5482638,0.0,34.06,90.76,401.13498,4520,0.052507773,891.4585728645325,-0.067297,0.6394473910331726,479232
43,2.524394,0.0,45.7,92.78,409.5214,4563,0.04788719,899.1011209487915,-0.06975198,0.7137756943702698,483328
