loss_pol_surr,EpRewMean,loss_kl,TimeElapsed,ev_tdlam_before,TimestepsSoFar,EpisodesSoFar,loss_ent,EpLenMean,EpThisIter,loss_pol_entpen,loss_vf_loss
-0.010243682,-26.58,0.0033063903,198.35979580879211,0.38001394271850586,118784,822,5.629336,135.01,34,0.0,518.89557
-0.010991855,-31.93,0.0028155255,205.08731031417847,0.5243409872055054,122880,854,5.626475,130.48,32,0.0,474.99582
-0.010408144,-28.49,0.0028564804,211.57206678390503,0.5506360530853271,126976,887,5.6295085,123.97,33,0.0,490.31775
-0.011545002,-30.42,0.003440064,218.4363613128662,0.5986786484718323,131072,915,5.6325984,132.0,28,0.0,400.50858
-0.009353809,-40.38,0.0022349905,225.08541822433472,0.5246152281761169,135168,949,5.628631,132.53,34,0.0,488.22144
-0.011782197,-33.02,0.0035369494,231.63501596450806,0.43373697996139526,139264,985,5.632752,125.68,36,0.0,559.6666
-0.01133622,-29.6,0.0034586852,238.74934434890747,0.5596916377544403,143360,1019,5.632436,117.58,34,0.0,468.95477
-0.0106332535,-36.76,0.0027596601,245.69387340545654,0.5190719664096832,147456,1051,5.6416316,120.8,32,0.0,425.79364
-0.010959669,-26.56,0.0025543575,252.29650139808655,0.5407012701034546,151552,1077,5.635163,133.54,26,0.0,433.86966
-0.009594603,-16.97,0.0027279404,259.0214273929596,0.4166271686553955,155648,1101,5.636382,143.6,24,0.0,446.3239
-0.009877101,-24.49,0.0024232727,265.7899911403656,0.5446720719337463,159744,1131,5.6338835,148.27,30,0.0,429.29825
-0.009620561,-11.53,0.0021088165,272.47509479522705,0.5701957046985626,163840,1167,5.6366663,136.31,36,0.0,494.58783
-0.010224073,-19.1,0.0026061079,278.9071593284607,0.6875211894512177,167936,1201,5.6394644,123.5,34,0.0,398.62207
-0.011190951,-22.53,0.0033638473,285.0582947731018,0.6020864844322205,172032,1240,5.636649,111.71,39,0.0,513.70154
-0.014217366,-33.96,0.004375007,291.2722592353821,0.5356270968914032,176128,1279,5.6422124,109.24,39,0.0,458.78293
-0.010299983,-46.38,0.0029853848,297.57973432540894,0.6111968755722046,180224,1310,5.6530237,113.43,31,0.0,326.89117
-0.011872589,-44.5,0.0028876367,303.95368790626526,0.5042101740837097,184320,1341,5.6436777,121.64,31,0.0,429.33878
-0.009474868,-33.73,0.0020268974,310.1501290798187,0.6149594485759735,188416,1378,5.6428537,123.82,37,0.0,498.11282
-0.012162814,-34.68,0.003148745,316.75258016586304,0.588665246963501,192512,1413,5.638549,119.29,35,0.0,398.79288
-0.009728394,-35.94,0.0024992067,323.64477920532227,0.6803622543811798,196608,1456,5.638215,104.58,43,0.0,355.58832
-0.012556888,-49.41,0.002822554,330.3544137477875,0.6632826030254364,200704,1488,5.641419,109.36,32,0.0,331.01642
