EpLenMean,TimeElapsed,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,ev_tdlam_before,EpRewMean,EpThisIter,loss_kl,EpisodesSoFar,loss_ent,loss_vf_loss
137.4,3927.024066209793,-0.02093366,0.0,1146880,0.7887589633464813,19.46,30,0.0042580366,9720,4.8492613,320.38257
140.38,3936.7266368865967,-0.021716075,0.0,1150976,0.6186319887638092,10.5,26,0.0051945187,9746,4.850953,475.19464
141.15,3946.3071703910828,-0.01861176,0.0,1155072,0.6684947609901428,14.15,30,0.0044311066,9776,4.847799,478.938
142.05,3956.0338253974915,-0.020353839,0.0,1159168,0.7819774150848389,10.25,30,0.0053097797,9806,4.8403616,320.15396
138.07,3965.5160570144653,-0.020379988,0.0,1163264,0.7261413633823395,11.72,30,0.0043028956,9836,4.842777,458.55768
139.52,3975.1245999336243,-0.020568464,0.0,1167360,0.7827799022197723,21.0,29,0.004226819,9865,4.8363857,298.13406
135.68,3984.9918415546417,-0.019634707,0.0,1171456,0.7511874139308929,23.53,31,0.004191535,9896,4.8312254,344.94354
141.46,3995.036259651184,-0.019636363,0.0,1175552,0.7076244056224823,15.65,27,0.004541979,9923,4.8262606,400.2997
140.27,4004.4371950626373,-0.018424375,0.0,1179648,0.6845703423023224,15.59,29,0.003962952,9952,4.8198643,428.59143
141.03,4014.249319076538,-0.022307321,0.0,1183744,0.7293224334716797,10.21,30,0.00520608,9982,4.813092,360.4219
139.11,4024.1650161743164,-0.02126886,0.0,1187840,0.6625807583332062,13.94,32,0.005297886,10014,4.8079534,494.62793
133.09,4034.0089199543,-0.021095863,0.0,1191936,0.7606457024812698,33.19,31,0.004110228,10045,4.8069143,311.7386
133.44,4043.823032617569,-0.02035785,0.0,1196032,0.5457006692886353,25.8,29,0.0054816715,10074,4.8027005,402.25354
134.42,4178.703568935394,-0.018740384,0.0,1200128,0.758718341588974,28.93,32,0.0050118077,10106,4.794555,379.80408
133.01,4188.492545127869,-0.021538332,0.0,1204224,0.7494460642337799,3.22,30,0.0053355563,10136,4.7931314,345.15024
135.35,4198.012301206589,-0.023145689,0.0,1208320,0.7739971429109573,1.56,29,0.0057820384,10165,4.7809267,348.0544
133.44,4207.379317998886,-0.017126637,0.0,1212416,0.7663002163171768,-5.7,32,0.0042363484,10197,4.773694,431.16214
133.8,4217.20432639122,-0.021511428,0.0,1216512,0.782735139131546,-10.3,32,0.004792267,10229,4.767629,337.65176
134.18,4226.652301311493,-0.020539666,0.0,1220608,0.6810747981071472,11.46,28,0.0057958835,10257,4.7561955,452.0788
133.89,4236.305999279022,-0.02199442,0.0,1224704,0.7502705454826355,18.09,29,0.0051744306,10286,4.756482,331.69992
